Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
76,1.932861,-0.345581,-0.03064,0.977367,-0.220964,1.807584,0,0,0
77,2.061401,-0.35376,-0.065186,1.050231,-0.196992,1.410513,0,0,0
78,2.127197,-0.334473,-0.134033,1.170562,-0.342007,0.934171,0,0,0
79,2.129517,-0.324463,-0.197754,1.307508,-0.495567,0.495567,0,0,0
80,2.081055,-0.310425,-0.199341,1.418108,-0.49082,0.11867,0,0,0
81,1.983643,-0.341553,-0.186401,1.500228,-0.333463,-0.222863,0,0,0
82,1.848511,-0.39978,-0.210449,1.576651,-0.153797,-0.535677,0,0,0
83,1.758667,-0.444336,-0.255127,1.669214,-0.023497,-0.786308,0,0,0
84,1.692261,-0.478394,-0.339111,1.804261,-0.020174,-0.93963,0,0,0
85,1.612427,-0.502441,-0.440796,1.967076,-0.0928,-0.957193,0,0,0
86,1.5802,-0.486816,-0.525879,2.100224,-0.136233,-0.880295,0,0,0
87,1.601685,-0.450439,-0.599731,2.183293,-0.104667,-0.795565,0,0,0
88,1.664063,-0.397827,-0.668457,2.254021,-0.061234,-0.7424,0,0,0
89,1.715698,-0.338257,-0.762329,2.296504,0.038686,-0.737891,0,0,0
90,1.739014,-0.272949,-0.868652,2.265176,0.079509,-0.816925,0,0,0
91,1.719971,-0.21106,-0.939087,2.138199,0.138132,-0.961465,0,0,0
92,1.648804,-0.189087,-0.969727,1.917235,0.215742,-1.156797,0,0,0
93,1.563354,-0.194946,-0.956665,1.648091,0.266058,-1.379422,0,0,0
94,1.48291,-0.212769,-0.894043,1.348805,0.368352,-1.63836,0,0,0
95,1.40625,-0.237793,-0.848633,1.108854,0.424839,-1.881159,0,0,0
96,1.33667,-0.275879,-0.815918,0.961228,0.47563,-2.011696,0,0,0
97,1.265015,-0.292236,-0.811279,0.86914,0.614237,-2.001253,0,0,0
98,1.206177,-0.279663,-0.830078,0.782511,0.771593,-1.87926,0,0,0
99,1.168823,-0.253174,-0.846313,0.664078,0.951735,-1.726413,0,0,0
100,1.143433,-0.222412,-0.841553,0.52737,1.051655,-1.620085,0,0,0
101,1.119019,-0.193604,-0.822388,0.407988,1.038126,-1.579025,0,0,0
102,1.073608,-0.183228,-0.79187,0.315425,0.934409,-1.60181,0,0,0
103,1.018921,-0.162964,-0.756592,0.21598,0.774916,-1.650464,0,0,0
104,0.970459,-0.141846,-0.728882,0.089477,0.70941,-1.677046,0,0,0
105,0.938477,-0.120728,-0.684204,-0.06242,0.784647,-1.65711,0,0,0
106,0.919067,-0.114136,-0.645752,-0.207198,0.882668,-1.584721,0,0,0
107,0.910278,-0.100952,-0.605469,-0.332039,0.933222,-1.481003,0,0,0
108,0.878174,-0.087158,-0.566895,-0.44169,0.982351,-1.374912,0,0,0
109,0.838257,-0.075195,-0.518311,-0.545171,1.025547,-1.305372,0,0,0
110,0.784668,-0.059448,-0.469727,-0.629901,0.997067,-1.264074,0,0,0
111,0.728394,-0.031006,-0.41626,-0.693983,0.911624,-1.251258,0,0,0
112,0.690674,-0.008301,-0.355225,-0.755454,0.833539,-1.227287,0,0,0
113,0.650391,0.006958,-0.287964,-0.821672,0.767321,-1.171986,0,0,0
114,0.624023,0.016724,-0.204712,-0.891687,0.712733,-1.069693,0,0,0
115,0.612793,0.027832,-0.127563,-0.949361,0.710834,-0.907589,0,0,0
116,0.596191,0.043823,-0.069214,-0.956007,0.716768,-0.729109,0,0,0
117,0.599609,0.069214,-0.039185,-0.886703,0.628714,-0.580772,0,0,0
118,0.629272,0.10437,-0.009766,-0.777764,0.484886,-0.459491,0,0,0
119,0.667847,0.130981,0.013306,-0.690186,0.403004,-0.345567,0,0,0
120,0.692505,0.152832,0.029663,-0.649838,0.395646,-0.236628,0,0,0
121,0.718872,0.174927,0.038574,-0.637733,0.386153,-0.156882,0,0,0
122,0.760132,0.195923,0.03894,-0.644142,0.384254,-0.114635,0,0,0
123,0.797119,0.210571,0.049438,-0.645803,0.341295,-0.099683,0,0,0
124,0.82959,0.211426,0.080933,-0.637259,0.245647,-0.102531,0,0,0
125,0.852173,0.206299,0.099365,-0.635597,0.178717,-0.108939,0,0,0
126,0.866333,0.223633,0.133057,-0.644142,0.153084,-0.109651,0,0,0
127,0.870972,0.214355,0.155029,-0.642243,0.194144,-0.100395,0,0,0
128,0.863281,0.212524,0.164307,-0.641531,0.262024,-0.068591,0,0,0
129,0.858521,0.214355,0.186768,-0.624917,0.28552,-0.042484,0,0,0
130,0.858887,0.203979,0.195923,-0.576262,0.218353,-0.039161,0,0,0
131,0.869385,0.200684,0.20105,-0.503873,0.026107,-0.061946,0,0,0
132,0.895264,0.199341,0.198486,-0.435757,-0.19628,-0.093512,0,0,0
