0,5292.0,2181.0,938.0,-530.0,-14.0,-326.0,0,0,0
1,6680.0,1047.0,227.0,-201.0,-410.0,25.0,0,0,0
2,6198.0,1386.0,371.0,-141.0,-10.0,-39.0,0,0,0
3,5671.0,1453.0,559.0,-166.0,446.0,27.0,0,0,0
4,4946.0,1451.0,728.0,-198.0,743.0,13.0,0,0,0
5,4369.0,1354.0,871.0,-299.0,871.0,92.0,0,0,0
6,3813.0,1320.0,1289.0,-502.0,1067.0,256.0,0,0,0
7,3249.0,1167.0,1838.0,-743.0,1315.0,577.0,0,0,0
8,2839.0,975.0,2446.0,-751.0,1480.0,1059.0,0,0,0
9,2852.0,663.0,2998.0,-445.0,1481.0,1642.0,0,0,0
10,3108.0,267.0,3332.0,180.0,1308.0,2312.0,0,0,0
11,3535.0,145.0,3512.0,1022.0,1237.0,2980.0,0,0,0
12,3784.0,0.0,3318.0,1955.0,1231.0,3544.0,0,0,0
13,4257.0,-360.0,2996.0,2876.0,979.0,4106.0,0,0,0
14,5004.0,-279.0,2693.0,3713.0,414.0,4732.0,0,0,0
15,5820.0,-342.0,2440.0,4478.0,192.0,5148.0,0,0,0
16,6979.0,-195.0,1936.0,5298.0,-69.0,5205.0,0,0,0
17,7800.0,-157.0,1328.0,5967.0,-882.0,4794.0,0,0,0
18,8159.0,43.0,482.0,6437.0,-1537.0,4160.0,0,0,0
19,9031.0,111.0,550.0,6788.0,-2655.0,3370.0,0,0,0
20,9410.0,113.0,195.0,7290.0,-3974.0,2367.0,0,0,0
21,9357.0,-216.0,-1062.0,7859.0,-4278.0,1592.0,0,0,0
22,9175.0,-573.0,-2293.0,7980.0,-3797.0,1461.0,0,0,0
23,9530.0,-790.0,-3020.0,7552.0,-3610.0,2211.0,0,0,0
24,10185.0,-1071.0,-3961.0,7219.0,-4056.0,3138.0,0,0,0
25,11106.0,-923.0,-4825.0,7110.0,-4036.0,3807.0,0,0,0
26,12104.0,-639.0,-5920.0,6819.0,-3504.0,4204.0,0,0,0
27,13101.0,-435.0,-6689.0,6012.0,-3000.0,4297.0,0,0,0
28,14008.0,-251.0,-7142.0,4932.0,-2303.0,4035.0,0,0,0
29,14199.0,-268.0,-7106.0,3849.0,-1260.0,3456.0,0,0,0
30,13970.0,-418.0,-6921.0,2853.0,-41.0,2878.0,0,0,0
31,13685.0,-652.0,-6733.0,1991.0,1418.0,2451.0,0,0,0
32,13382.0,-686.0,-6324.0,1320.0,2589.0,2115.0,0,0,0
33,12866.0,-851.0,-6157.0,843.0,3124.0,1784.0,0,0,0
34,12456.0,-993.0,-5933.0,414.0,3448.0,1533.0,0,0,0
35,12061.0,-1148.0,-5702.0,35.0,3465.0,1252.0,0,0,0
