0,7651.0,3700.0,1741.0,-1068.0,-8.0,-378.0,0,0,0
1,6532.0,2589.0,1075.0,-979.0,-1470.0,515.0,0,0,0
2,6754.0,2813.0,1142.0,-464.0,-867.0,228.0,0,0,0
3,6614.0,3128.0,1283.0,-156.0,14.0,120.0,0,0,0
4,6815.0,3162.0,1413.0,51.0,1002.0,224.0,0,0,0
5,6589.0,2911.0,1590.0,192.0,1837.0,421.0,0,0,0
6,6382.0,2812.0,1766.0,361.0,2306.0,655.0,0,0,0
7,6130.0,2546.0,1915.0,630.0,2771.0,898.0,0,0,0
8,6020.0,2478.0,1899.0,1087.0,2954.0,1081.0,0,0,0
9,5839.0,2396.0,1846.0,1635.0,2784.0,1133.0,0,0,0
10,5615.0,2606.0,1795.0,2114.0,2280.0,1119.0,0,0,0
11,5289.0,2519.0,1662.0,2367.0,2106.0,1366.0,0,0,0
12,4943.0,2405.0,1759.0,2585.0,1780.0,1675.0,0,0,0
13,4628.0,2180.0,1652.0,2874.0,1428.0,1910.0,0,0,0
14,4419.0,2028.0,1545.0,3194.0,870.0,2185.0,0,0,0
15,4443.0,1801.0,1389.0,3430.0,106.0,2553.0,0,0,0
16,4584.0,1548.0,1116.0,3627.0,-680.0,2932.0,0,0,0
17,4944.0,1363.0,647.0,3847.0,-1251.0,3365.0,0,0,0
18,5115.0,1063.0,200.0,4076.0,-1747.0,3803.0,0,0,0
19,5135.0,861.0,-334.0,4337.0,-1980.0,4191.0,0,0,0
20,4989.0,567.0,-831.0,4501.0,-1925.0,4504.0,0,0,0
21,4839.0,263.0,-1324.0,4447.0,-1693.0,4745.0,0,0,0
22,4994.0,-117.0,-1728.0,4317.0,-1441.0,5010.0,0,0,0
23,5250.0,-513.0,-2257.0,4238.0,-1520.0,5422.0,0,0,0
24,5785.0,-748.0,-2848.0,4265.0,-1620.0,5917.0,0,0,0
25,6300.0,-876.0,-3450.0,4269.0,-1814.0,6420.0,0,0,0
26,6770.0,-971.0,-4197.0,4139.0,-2020.0,6744.0,0,0,0
27,7295.0,-1093.0,-4880.0,3803.0,-1874.0,6908.0,0,0,0
28,8114.0,-1108.0,-5738.0,3236.0,-2048.0,6896.0,0,0,0
29,8584.0,-1061.0,-6433.0,2702.0,-2570.0,6535.0,0,0,0
30,8936.0,-1220.0,-6541.0,1917.0,-3032.0,6074.0,0,0,0
31,9190.0,-1568.0,-6639.0,1000.0,-3491.0,5672.0,0,0,0
32,9324.0,-1813.0,-6620.0,270.0,-3441.0,5556.0,0,0,0
33,9439.0,-1929.0,-6533.0,-265.0,-2968.0,5811.0,0,0,0
34,9676.0,-2109.0,-6551.0,-642.0,-2406.0,6172.0,0,0,0
35,10405.0,-1943.0,-6800.0,-890.0,-1739.0,6751.0,0,0,0
36,11075.0,-1661.0,-6969.0,-1175.0,-1093.0,7248.0,0,0,0
37,11635.0,-1515.0,-6978.0,-1619.0,-418.0,7240.0,0,0,0
38,12065.0,-1447.0,-7038.0,-2205.0,167.0,6932.0,0,0,0
39,12506.0,-1389.0,-6956.0,-2766.0,472.0,6580.0,0,0,0
40,12664.0,-1193.0,-6860.0,-3324.0,627.0,6115.0,0,0,0
41,12800.0,-1051.0,-6669.0,-3986.0,431.0,5447.0,0,0,0
42,12846.0,-1102.0,-6284.0,-4677.0,212.0,4736.0,0,0,0
43,12927.0,-1052.0,-5995.0,-5368.0,163.0,4270.0,0,0,0
44,12929.0,-1080.0,-5491.0,-6060.0,93.0,3944.0,0,0,0
45,13034.0,-1035.0,-5041.0,-6674.0,194.0,3730.0,0,0,0
46,13273.0,-952.0,-4430.0,-7237.0,147.0,3550.0,0,0,0
47,13665.0,-1018.0,-3777.0,-7734.0,-31.0,3386.0,0,0,0
48,14138.0,-1010.0,-3420.0,-8078.0,142.0,3311.0,0,0,0
49,14655.0,-1040.0,-2903.0,-8412.0,607.0,3207.0,0,0,0
50,15173.0,-991.0,-2448.0,-8778.0,991.0,2953.0,0,0,0
51,15603.0,-872.0,-2033.0,-8992.0,1275.0,2542.0,0,0,0
52,15812.0,-755.0,-1536.0,-9172.0,1522.0,1919.0,0,0,0
53,16002.0,-745.0,-860.0,-9416.0,1740.0,1075.0,0,0,0
54,16187.0,-751.0,-215.0,-9608.0,1850.0,31.0,0,0,0
55,16104.0,-817.0,520.0,-9651.0,1761.0,-1031.0,0,0,0
56,16041.0,-849.0,1253.0,-9553.0,1748.0,-2016.0,0,0,0
57,15791.0,-859.0,1922.0,-9288.0,1650.0,-3006.0,0,0,0
58,15370.0,-854.0,2513.0,-8880.0,1507.0,-3944.0,0,0,0
59,15016.0,-768.0,3014.0,-8379.0,1579.0,-4684.0,0,0,0
60,14543.0,-717.0,3439.0,-7855.0,1645.0,-5453.0,0,0,0
61,14018.0,-626.0,3626.0,-7294.0,1788.0,-6213.0,0,0,0
62,13405.0,-499.0,3634.0,-6776.0,1954.0,-6882.0,0,0,0
63,12830.0,-413.0,3786.0,-6449.0,2076.0,-7430.0,0,0,0
64,12148.0,-383.0,4012.0,-6086.0,2411.0,-7985.0,0,0,0
65,11484.0,-387.0,4158.0,-5626.0,2444.0,-8497.0,0,0,0
66,10639.0,-356.0,4274.0,-5100.0,2351.0,-8990.0,0,0,0
67,9846.0,-282.0,4255.0,-4497.0,2227.0,-9458.0,0,0,0
68,9350.0,-92.0,4312.0,-3914.0,2093.0,-9732.0,0,0,0
69,8785.0,62.0,4289.0,-3329.0,2271.0,-9909.0,0,0,0
70,8128.0,102.0,4316.0,-2761.0,2829.0,-10063.0,0,0,0
